what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1432948962069
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1432948962069
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1432948962069
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1432948962069
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1432948962069
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1432948962069
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1432948962069
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1432948962070
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1432948962070
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1432948962070
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1432948962070
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1432948962070
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1432948962070
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1432948962070
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1432948962070
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1432948962070
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1432948962071
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1432948962071
started,bundle,org.eclipse.cdt.cross.arm.gnu,0.5.4.201202210114,"org.eclipse.cdt.cross.arm.gnu",1432948962071
os,sysinfo,,,"linux",1432948962073
arch,sysinfo,,,"x86_64",1432948962073
ws,sysinfo,,,"gtk",1432948962073
locale,sysinfo,,,"en_US",1432948962073
processors,sysinfo,,,"4",1432948962073
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1432948962073
java.runtime.version,sysinfo,,,"1.7.0_13-b20",1432948962073
java.specification.name,sysinfo,,,"Java Platform API Specification",1432948962073
java.specification.vendor,sysinfo,,,"Oracle Corporation",1432948962073
java.specification.version,sysinfo,,,"1.7",1432948962073
java.vendor,sysinfo,,,"Oracle Corporation",1432948962073
java.version,sysinfo,,,"1.7.0_13",1432948962073
java.vm.info,sysinfo,,,"mixed mode",1432948962073
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1432948962073
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1432948962073
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1432948962073
java.vm.specification.version,sysinfo,,,"1.7",1432948962073
java.vm.vendor,sysinfo,,,"Oracle Corporation",1432948962073
java.vm.version,sysinfo,,,"23.7-b01",1432948962073
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1432948963243
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1432948963540
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1432948966790
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432949259833
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432949506153
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432949507060
